Sr No	Date 	Startup Name	Industry Vertical	SubVertical	City Location	Investors Name	InvestmentnType	Amount Clean	Is _disclosed
875	08-04-17	WonderChef	eCommerce	Online marketplace for kitchen products	Mumbai	Labruyere Eberl\\xc3\\xa9	Private Equity		No
876	08-04-17	FastFox	Consumer Internet	Online rental discovery platform	Gurgaon	"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners"	Private Equity	"46,00,000"	Yes
877	10-04-17	Omnify	Technology	SaaS platform for SMEs	Bengaluru	"Rajan Anandan, L.D Sharma, Saurabh Arora"	Seed Funding	"1,50,000"	Yes
878	10-04-17	Capital Float	Consumer Internet	Online Lending Platform for SME	Bengaluru	Mahindra and Mahindra Financial Services	Private Equity	"23,00,000"	Yes
879	11-04-17	Ninjacart	eCommerce	B2B agri-marketing platform	Bengaluru	"Accel Partners, Nandan Nilekani\\xe2\\x80\\x99s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners"	Private Equity	"55,00,000"	Yes
880	11-04-17	MergerWare	Technology	Software solutions for M&As	Bengaluru	Philippe Bouchet	Seed Funding	"1,00,000"	Yes
881	11-04-17	Sports Flashes	Consumer Internet	Online Sports portal & Mobile app	New Delhi	"Sushil Kumar, Sandeep Singh"	Seed Funding		No
882	12-04-17	Clovia	eCommerce	Online lingerie & Sleepwear etailer	New Delhi	"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal"	Private Equity	"40,00,000"	Yes
883	12-04-17	Emiza	Logistics	Third Party Logistics provider	Mumbai	"Mayfield, Nishant Rao, Dileep Nath"	Private Equity	"45,00,000"	Yes
884	12-04-17	HackerEarth	Consumer Internet	Online Skill Assessment Platform	Bengaluru	"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach"	Private Equity	"45,00,000"	Yes
885	12-04-17	Squadrun	Technology	Software-As-a-Service Platform	Noida	"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures"	Private Equity	"21,00,000"	Yes
886	12-04-17	Tinmen	Consumer Internet	Food Delivery Platform	Hyderabad	"MAPE Advisory Group, R Ramaraj, Corvus Ventures"	Seed Funding		No
887	12-04-17	ScoutMyTrip	Consumer Internet	Online Travel planner	Mumbai	Z Nation Lab	Seed Funding		No
888	13-04-17	SafetyKart	eCommerce	Safety & Hygiene Products etailer	Gurgaon	Redcliffe Capital	Private Equity		No
889	13-04-17	WeAreHolidays	Consumer Internet	Travel Packages & Planner marketplace	Gurgaon	"Urrshila Kerkar,"	Private Equity	"77,00,000"	Yes
890	14-04-17	Ola Cabs	Consumer Internet	Cab Aggregator App	Bengaluru	SIMI Pacific Pte	Private Equity	"26,00,00,000"	Yes
891	15-04-17	Myly	Consumer Internet	Mobile App for Schools	Jaipur	mall Industries Development Bank of India (SIDBI)	Seed Funding	"3,10,000"	Yes
892	17-04-17	CrediHealth	Consumer Internet	Online Medical Assistance platform	Gurgaon	"Tolaram Inc, Mountain Pine Capital"	Private Equity	"15,00,000"	Yes
893	17-04-17	Navia Life Care	Technology	Health Technology platform	New Delhi	Benori Ventures LLP	Seed Funding		No
894	17-04-17	Raw Pressery	Food & Beverages	Raw Pressed Juices manufacturer	Mumbai	Jacqueline Fernandez	Seed Funding		No
895	17-04-17	Snackible	Food & Beverages	Healthy Snacks manufacturer	Mumbai	"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair"	Seed Funding	"1,75,000"	Yes
896	17-04-17	Be U Salons	Consumer Internet	Online Salon discovery & Booking Services	New Delhi	"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra"	Seed Funding	"6,20,000"	Yes
897	17-04-17	Simulanis	Consumer Internet	eLearning & Skills Development plat	New Delhi	Village Capital	Seed Funding		No
898	17-04-17	LendingKart	Consumer Internet	Lending platform for small businesses	Ahmedabad	Anicut Capital	Private Equity	"46,50,000"	Yes
899	18-04-17	Innefu Security Consulting	Technology	Cyber Security solutions using AI	New Delhi	IndiaNivesh Venture Capital Fund	Private Equity	"20,00,000"	Yes
900	18-04-17	Whodat	Technology	Markerless AR platform	Bengaluru	Ideaspring Capital	Private Equity	"6,00,000"	Yes
901	18-04-17	Absentia VR	Technology	Virtual Reality Startup	Bengaluru	Exfinity Venture Partners	Private Equity	"12,50,000"	Yes
902	19-04-17	IOTrek	Technology	IoT Platform for Bus	New Delhi	Undisclosed Investor	Seed Funding	"1,55,000"	Yes
903	20-04-17	HolaChef	Consumer Internet	Online Food Delivery	Mumbai	"SIDBI Venture Capital Ltd, Kalaari Capital"	Private Equity	"30,00,000"	Yes
904	20-04-17	Wooplr	eCommerce	Social Commerce Fashion platform	Bengaluru	Ankit Nagori	Private Equity		No
905	21-04-17	Video Ken	Consumer Internet	Video Based Collaborative Learning	Bengaluru	"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi"	Seed Funding	"10,00,000"	Yes
906	24-04-17	Faasos	Food & Beverage	QSR chain and online food delivery	Pune	"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments"	Private Equity	"63,00,000"	Yes
907	24-04-17	Oyo Rooms	Consumer Internet	Branded Budget Hotels Aggregator	Gurgaon	"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners"	Private Equity	"25,00,00,000"	Yes
908	24-04-17	Toppr	Consumer Internet	Learning mobile app for students	Mumbai	WGG International	Private Equity	"32,00,000"	Yes
909	24-04-17	Niramai	Healthcare	Breast Cancer Screening Solutions	Bengaluru	"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal"	Seed Funding		No
910	25-04-17	The Office Pass	Consumer Internet	CoWorking Spaces booking platform	Gurgaon	"Arun Tadanki, Aditya Verma"	Seed Funding	"2,45,000"	Yes
911	25-04-17	UrbanClap	Consumer Internet	Mobile Services Marketplace	Gurgaon	Trifecta Capital	Private Equity	"31,00,000"	Yes
912	26-04-17	Awfis	Consumer Internet	Collaborative co-Working Spaces	Mumbai	Sequoia India	Private Equity	"2,00,00,000"	Yes
913	26-04-17	Myra	Consumer Internet	Online Pharmacy	Bengaluru	"Times Internet,Matrix Partners"	Private Equity		No
914	26-04-17	Flytxt	Technology	Customer data analytics software	Mumbai	DAH Beteiligungs GmbH	Private Equity	"1,10,00,000"	Yes
915	26-04-17	Howdy Ventures	Consumer Internet	Public and Private Events creation app	Chennai	S. Xavier Britto	Seed Funding	"15,00,000"	Yes
916	26-04-17	StalkBuyLove	eCommerce	Online fashion marketplace	New Delhi	Trifecta Capital	Private Equity	"10,00,000"	Yes
917	26-04-17	ZipGo	Consumer Internet	Bus Pooling services platform	Bengaluru	"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks"	Private Equity		No
918	27-04-17	Scootsy	Consumer Internet	On-Demand Food Delivery	Mumbai	"Agnus Capital, Khattar Holdings"	Private Equity	"36,00,000"	Yes
919	27-04-17	Autobix	Technology	Software Solutions for Auto Dealership	Pune	GardX International	Seed Funding		No
920	27-04-17	eShiksha	Technology	Education Institution Management Solutions	Jaipur	Cross Border Angels & Experts	Seed Funding		No
921	27-04-17	iNurture	Consumer Internet	Online Educational courses	Bengaluru	BlackSoil Capital Pvt. Ltd	Private Equity	"15,00,000"	Yes
922	28-04-17	Sepalika	Consumer Internet	Healthcare related content platform	New Delhi	Accel Partners	Seed Funding	"7,50,000"	Yes
923	28-04-17	Mintwalk	Consumer Internet	Financial advisory mobile app	Mumbai	Poshika Financial Ecosystem	Seed Funding		No
924	29-04-17	Qriyo	Consumer Internet	Tutor Discovery & Booking platform	Jaipur	NB Ventures	Private Equity		No
925	01-03-17	Ola	Consumer Internet	App based cab aggregator	Bengaluru	SoftBank Group Corp	Private Equity	"33,00,00,000"	Yes
926	01-03-17	Belong	Consumer Internet	Online Jon Portal	Bengaluru	Sequoia Capital India	Private Equity	"1,00,00,000"	Yes
927	01-03-17	Seenit	Consumer Internet	AI based Fashion Search Portal	Kolkata	"Calcutta Angels Network (CAN), Augment Ventures"	Seed Funding		No
928	01-03-17	Paalak	ECommerce	Fresh Produce Selling portal	New Delhi	"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi"	Seed Funding		No
929	02-03-17	Celes Care	Consumer Internet	Women Healthcare & Information portal	Hyderabad	"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners"	Private Equity	"15,00,000"	Yes
930	02-03-17	Karomi	Technology	Packaging Artwork Management software	Chennai	Ideaspring Capital	Seed Funding	"5,00,000"	Yes
931	02-03-17	Red Carpet	Consumer Internet	Micro Lending platform	Gurgaon	Lightspeed Venture Partners	Private Equity	"25,00,000"	Yes
932	02-03-17	Kreate Konnect	Technology	End-to-End Seller e-commerce solutions Provider	Vadodara	Langoor	Seed Funding		No
933	02-03-17	CreditMantri	Consumer Internet	Online Credit score & lending platform	Chennai	Quona Capital	Private Equity	"76,00,000"	Yes
934	03-03-17	Lets Endorse	Consumer Internet	Online Ecosystem of social innovators	Bengaluru	"Chandigarh Angels Network, Social Alpha and other unnamed angel investors"	Seed Funding		No
935	03-03-17	Tydy	Technology	Employee Onboarding and Engagement platform	Bengaluru	"Bhupen Shah, Jayesh Parekh, Sanjay Sathe"	Seed Funding	"2,75,000"	Yes
936	03-03-17	Nactus	Consumer Internet	Professional Tutors discovery & booking mobile app	Jaipur	"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar"	Seed Funding		No
937	03-03-17	Oho Shop	Technology	eCommerce Mobile App Builder	Ahmedabad	"Bennett, Coleman and Company Ltd"	Private Equity	"67,00,000"	Yes
938	03-03-17	Emojifi	Consumer Internet	Mobile App for live emoji	Hyderabad	Undisclosed angel investors	Seed Funding		No
939	03-03-17	Paytm Marketplace	ECommerce	ECommerce Marketplace	Bengaluru	Alibaba	Private Equity	"20,00,00,000"	Yes
940	04-03-17	iGenetics	Healthcare	Health Diagnostic Solutions	Mumbai	CDC Group Plc	Private Equity	"1,95,00,000"	Yes
941	06-03-17	Juno Clinic	Consumer Internet	Online Counseling Platform	Mumbai	Atul Nishar	Seed Funding	"12,00,000"	Yes
942	06-03-17	Summerlabel	Consumer Internet	Fashion and Lifestyle discovery platform	Gurgaon	"Aneesh Seth, Tushar Mittal"	Seed Funding	"1,50,000"	Yes
943	06-03-17	PickMe	Consumer Internet	Gadget Insurance & Repair Services platform	Mumbai	SIDBI Venture Capital Fund	Private Equity	"17,90,000"	Yes
944	07-03-17	Agrostar	Technology	Direct-to-Farmer Mobile-Based Retail platform	Pune	Accel Partners	Private Equity	"1,00,00,000"	Yes
945	07-03-17	Zapr	Technology	"DSP, TV Analytics & Cross-Platform advertising"	Bengaluru	Star India Pvt Ltd	Private Equity	"1,00,00,000"	Yes
946	07-03-17	Data Resolve	Technology	Cyber Security Solutions	Noida	IDFC Parampara Early Stage Opportunities Fund	Private Equity	"10,00,000"	Yes
947	07-03-17	Book Servicing	Consumer Internet	Online Vehicle Services Booking platform	New Delhi	National Science and Technology Entrepreneurship Development Board	Seed Funding	30000.00	Yes
948	07-03-17	Blowhorn	Consumer Internet	Intra-City Logistics provider	Bengaluru	"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund"	Private Equity	"36,50,000"	Yes
949	08-03-17	Rivigo	Logistics	Technology Enabled Logistics Company	Gurgaon	Private Sector Banks (Debt Funding)	Private Equity	"1,50,00,000"	Yes
950	08-03-17	PipeCandy	Technology	Intelligent Sales Prospecting Platform	Chennai	"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network"	Seed Funding	"11,00,000"	Yes
951	08-03-17	Supr Daily	Consumer Internet	Subscription based Home Delivery Platform	Mumbai	Y Combinator	Seed Funding	"1,20,000"	Yes
952	08-03-17	Parentune	Consumer Internet	Online Community for Parents	Gurgaon	"Kae Capital, SEGNEL Ventures"	Private Equity		No
953	09-03-17	AppBrowzer	Consumer Internet	Instant Mobile Apps Store	Bengaluru	Deepak Gurnani	Seed Funding	"5,00,000"	Yes
954	09-03-17	MagicBricks	Consumer Internet	Online Real Estate Portal	Mumbai	Times Internet Ltd	Private Equity	"45,00,000"	Yes
955	10-03-17	PeeBuddy	Healthcare	Female Hygiene product manufacturer	New Delhi	Indian Angel Network	Seed Funding	"4,43,000"	Yes
956	10-03-17	iOrderFresh	ECommerce	Online fresh fruits and grocery store	New Delhi	Singapore Angel Network	Seed Funding		No
957	10-03-17	Lavelle Networks	Technology	SDN Solutions	Bengaluru	Ideaspring Capital	Seed Funding	"6,00,000"	Yes
958	10-03-17	PropertyShare	Consumer Internet	Fractional Proerty Ownership & Rental platform	Bengaluru	"Asuka, Pravega Ventures, BEENEXT"	Seed Funding		No
959	14-03-17	MyDermacy	Consumer Internet	Online Dermatology consultation platform	New Delhi	Cyber Carrier	Private Equity		No
960	15-03-17	LatestOne	eCommerce	Tech Accessories e-tailer	Hyderabad	"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth"	Private Equity	"33,50,000"	Yes
961	15-03-17	Frapperz	Consumer Internet	On-demand home services provider	Kolkata	Undisclosed Investor	Seed Funding	"1,00,000"	Yes
962	16-03-17	mPaani	Consumer Internet	Loyalty rewards app	Mumbai	"IDG Ventures, Blume Ventures, Saha Fund,"	Private Equity	"13,50,000"	Yes
963	16-03-17	ShilpMIS	Technology	Virtual Reality platform	Surat	"Puneet Gupta, Nimitt Desai & Others"	Seed Funding		No
964	16-03-17	POPxo	Consumer Internet	Digital Media publication for women	New Delhi	"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh"	Private Equity	"31,00,000"	Yes
965	16-03-17	Fitso	Consumer Internet	Fitness Mobile App	Gurgaon	"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya"	Seed Funding	"2,00,000"	Yes
966	17-03-17	FarMart	Technology	Farming rental equipment provider	Gurgaon	Indian Angel Network	Seed Funding		No
